target_bin,n,t_start,t_end,target_mean,speed_mean,speed_std,speed_min,speed_max,err_mean,err_abs_mean,err_abs_p95,iq_mean,iq_abs_mean,iq_std,iq_min,iq_max,iq_peak_max,iq_ref_mean,ibus_mean,ibus_min,ibus_max,vbus_mean,duration
-200.0,8393,403.546941,413.979462,-199.9572740867336,-199.3388897431704,10.4768391356787,-240.2417065950499,-160.77150791955322,0.6183843435632079,8.299754639983385,20.923490096743635,-13.398546407720719,14.737757655188847,11.813472571903777,-56,20,61.0,-24.321458358155606,0.0,0,0,3961.3014416775886,10.432521000000008
-180.0,11964,385.076954,399.171651,-179.93713187047945,-179.580745879514,10.800098458413126,-211.7984557634205,-136.8449964903714,0.3563859909654416,8.629503937902966,21.24088259529404,-10.005683717820126,11.730190571715145,9.687776555394048,-40,20,49.0,-16.279672350384487,0.0,0,0,3969.0561685055163,14.094696999999996
-160.0,13220,365.042543,380.686983,-159.9169896542253,-159.16125717236915,11.16718269359039,-200.2014221625416,-125.85833307901244,0.7557324818561483,8.973956168864223,21.97332682271798,-10.164296520423601,11.811497730711045,9.41434744491483,-38,22,41.0,-23.099167927382755,0.0,0,0,3969.2816944024207,15.644439999999975
-140.0,10872,348.827431,361.564994,-139.89684743797113,-139.4814004730661,12.589634689314938,-177.86187322611164,-100.83315530869471,0.41544696490504185,10.22221853934102,24.29273354289377,-9.909492273730685,12.601177336276674,10.974212924599502,-39,30,47.0,-17.270419426048566,0.0,0,0,3968.9996320824134,12.737563000000023
-120.0,10324,332.45788,344.508132,-119.99877925962097,-119.34391424206608,14.481956845902522,-162.11432233649708,-78.85982848597675,0.6548650175548829,11.71181204779234,27.588732566301474,-10.152654010073615,13.635800077489344,12.382077373890345,-45,24,46.0,-22.560732274312283,0.0,0,0,3969.341728012398,12.050252
-100.0,11040,316.050751,328.995806,-99.97863704336682,-99.22921965940458,16.073762913128814,-143.80321665089878,-52.49183629871517,0.7494173839622142,13.127304645049831,30.768761253700287,-10.093840579710145,13.773550724637682,12.874507638349618,-42,27,50.0,-22.108786231884057,0.0,0,0,3970.2409420289855,12.945055000000025
-80.0,9772,301.305724,312.630547,-79.95849482711264,-79.50590145899336,18.879213087461725,-133.4269234290597,-20.99673451948607,0.45259336811927187,15.316644026796276,36.74428540910062,-10.421203438395416,13.626279164961113,12.91334623425992,-51,29,48.0,-17.952210397052802,0.0,0,0,3970.5083913221447,11.32482299999998
-60.0,8684,286.97536,296.901874,-59.93835261085849,-59.374385737681365,20.651060347496383,-102.54219183935056,4.0284432508316295,0.5639668731771235,16.461481585495466,41.26102481154821,-10.705665591893137,14.642100414555504,14.958484840218995,-58,30,62.0,-21.834292952556424,0.0,0,0,3970.187010594196,9.926513999999997
-40.0,9792,272.097342,283.457178,-39.91821039460433,-39.268171129450145,16.809461537618756,-77.02871791741691,17.456587420270395,0.6500392651541874,12.977522419635092,36.13391521958068,-10.347630718954248,14.519199346405228,14.363777884284048,-60,37,60.0,-22.417892156862745,0.0,0,0,3970.4607843137255,11.359835999999973
-20.0,9688,256.548193,267.769659,-19.89806817835017,-19.720035139379746,10.74556792963073,-59.69420453505051,27.71080660420545,0.1780330389704221,8.417198961806173,19.89806817835017,-9.218827415359208,12.797687861271676,12.205190093111431,-47,35,48.0,-12.880986787778696,0.0,0,0,3970.0895953757226,11.221465999999964
0.0,10620,240.509345,252.914807,0.0,0.02573670158823265,7.363874727369149,-31.250953703421125,32.47169408246101,0.02573670158823265,5.664039948326589,14.160588396862698,-9.08738229755179,12.485499058380414,11.95275452091844,-45,36,46.0,-17.185310734463275,0.0,0,0,3969.8192090395482,12.405462
10.0,10284,225.05548,237.083739,9.88799707022309,9.820027803299887,7.316839798209739,-24.53688161870174,35.27939695425275,-0.0679692669232045,5.840062807116242,13.916440321054719,6.991443018280824,10.912874367950215,12.053332355328015,-25,48,54.0,10.603656164916375,0.0,0,0,3970.6911707506806,12.02825900000002
20.0,9860,210.188122,221.674465,19.89806817835017,20.31037138426078,8.563370041793315,-12.451551866206854,51.39316995757928,0.4123032059106127,6.762604562263362,16.724143192846462,5.217849898580122,9.577281947261664,10.839964200041697,-34,47,48.0,1.3692697768762678,0.0,0,0,3971.4649087221096,11.486343000000005
30.0,9728,17.590431,28.828931,29.908139286477248,30.147443552804248,11.207910044368619,-8.178960539567248,66.28620258186591,0.2393042663270021,8.84170912487371,22.58369701223792,5.5620888157894735,9.282483552631579,10.29061870768668,-28,38,47.0,3.224198190789474,0.0,0,0,3970.842105263158,11.238500000000002
40.0,8788,196.644991,206.735309,39.91821039460433,40.29671214526522,13.787669179702522,-10.376293221839044,78.49360637226478,0.37850175066088615,10.797745919837114,28.15637684255497,6.325898953117888,10.91579426490669,12.305741601488805,-32,48,48.0,-0.5284478834774693,0.0,0,0,3971.50204824761,10.090317999999996
50.0,14772,32.36238,49.932321,49.92828150273141,49.96713826730117,16.485547772714693,-6.836146122623371,92.4100466933195,0.03885676456976231,12.934873161959134,34.18073061311686,6.953154616842675,11.116707284050907,12.3120012833207,-32,48,54.0,7.991131871107501,0.0,0,0,3969.4865962632007,17.569941
70.0,8888,53.381299,63.639961,69.94842371898557,69.83792803548674,20.643123468300487,0.0,118.04559465315714,-0.11049568349883006,16.399193860851582,41.383098849452196,7.783078307830783,12.393339333933394,14.344684583664655,-30,59,66.0,10.856323132313232,0.0,0,0,3969.2128712871286,10.258662000000001
90.0,8468,67.092167,76.788839,89.96856593523972,90.17586691127413,20.60309581482562,25.87969603564562,135.9904782250435,0.2073009760344061,16.611929646431175,39.1857661671804,7.598016060462919,11.736891828058573,13.203299237086263,-26,53,67.0,5.624350495984884,0.0,0,0,3969.4180444024564,9.696671999999992
110.0,13832,80.222221,190.613019,109.98870815149388,110.23257381194523,16.9855093666527,55.4216132084109,155.15610217596972,0.24386566045134575,13.716560852398738,32.77077547532566,7.167727009832273,10.803932909196067,11.523430448654647,-25,50,52.0,5.675896471949104,0.0,0,0,3969.505783689994,110.390798
130.0,10264,95.000202,106.950031,129.88677632984405,130.07231364388363,14.76286289230699,87.16086306344798,185.18631550035096,0.18553731403957405,12.016252783267845,28.199102755821414,7.06157443491816,9.927513639906469,10.076435373436947,-23,44,44.0,6.129189399844115,0.0,0,0,3969.269680436477,11.949828999999994
150.0,11072,111.220873,124.224791,149.9069185460982,149.9840637812151,12.987654279067959,99.36826685384686,186.65120395519884,0.07714523511688767,10.53729820517647,24.41480758079777,7.326589595375722,9.752167630057803,9.348939958675919,-23,40,44.0,5.932893786127168,0.0,0,0,3969.1712427745665,13.003917999999999
170.0,11952,128.536721,142.631192,169.92706076235237,170.13163078453937,11.98158359517725,126.34662923062838,217.658009582812,0.20457002218699527,9.576510127957533,23.316141239661818,7.32764390896921,9.912650602409638,9.430299319968688,-23,40,43.0,5.740210843373494,0.0,0,0,3968.674029451138,14.094470999999999
190.0,13232,147.050712,162.680009,189.94720297860653,189.9119517014881,11.235936146055424,150.63936277352215,231.08615375225077,-0.03525127711843777,8.917724349515682,22.46162297433395,7.2575574365175335,9.836154776299878,9.29185757565645,-23,38,43.0,9.863285973397824,0.0,0,0,3968.5423216444983,15.629297000000008
200.0,11276,165.59428,178.687124,199.95727408673358,199.90598047272252,11.18610771933171,157.10928678243354,235.9691152684103,-0.05129361401109614,8.88916815171495,21.607104709006023,7.56757715501951,9.322100035473571,8.49739496383629,-22,38,44.0,10.37575381340901,0.0,0,0,3968.6253990776872,13.092844000000014
